Id,Subject,MainText,Text,TextTokens,TextTopics,TopicPercentages
99_3569_4,information giving,I can save things I want to see later by just pinning them ,information giving I can save things I want to see later by just pinning them,['thing'],[32],[0.48275456]
99_3570_4,information giving,Great app love the site only gets a 4 because I can t pin directly from iPhone and lets face who uses their computer that often anymore ,information giving Great app love the site only gets a 4 because I can t pin directly from iPhone and lets face who uses their computer that often anymore,"['great', 'app', 'site', '4', 'iPhone', 'face', 'computer']",[12],[0.40955397]
99_3571_4,information giving,There are really good ideas for home decor cooking crafting etc but my favorite feature is travel photos and all the amazing places one can add to one s bucket list ,information giving There are really good ideas for home decor cooking crafting etc but my favorite feature is travel photos and all the amazing places one can add to one s bucket list,"['good', 'idea', 'home', 'decor', 'cooking', 'crafting', 'favorite', 'feature', 'travel', 'photo', 'amazing', 'place', 'bucket', 'list']",[22],[0.46027297]
99_3572_4,information giving,This app really helps you keep organized with everything you might want to do or have done or love or want to remember ,information giving This app really helps you keep organized with everything you might want to do or have done or love or want to remember,['app'],[16],[0.5056976]
99_3573_4,information giving,I ve been wanting to get Pinterest on the go and so far I ve been very happy with this app I haven t had to deal with updates yet but I love how its still just as easy to use on my iPhone as it is to use on a tablet or computer ,information giving I ve been wanting to get Pinterest on the go and so far I ve been very happy with this app I haven t had to deal with updates yet but I love how its still just as easy to use on my iPhone as it is to use on a tablet or computer,"['Pinterest', 'happy', 'app', 'update', 'easy', 'tablet', 'computer']",[26],[0.4336256]
99_3576_4,information giving,Sorry before I forgot the rating ,information giving Sorry before I forgot the rating,[],[],[]
99_3577_4,information giving,There are so many ideas and themes you could explore forever ,information giving There are so many ideas and themes you could explore forever,"['idea', 'theme']","[19, 68]","[0.4863965, 0.5]"
99_3578_4,information giving,Viewing so many places in the world to get 'traveling' ideas n'how to' fix things in your house hair makeup etc amazing party ideas ,information giving Viewing so many places in the world to get 'traveling' ideas n'how to' fix things in your house hair makeup etc amazing party ideas,"['place', 'world', 'idea', 'thing', 'house', 'hair', 'makeup', 'amazing', 'party', 'idea']",[32],[0.54115796]
99_3579_4,information giving, nI can find anything from beautiful Art or photos of celebrities flower ideas bouquets or arrangements nPinterest is such a helpful useful app that I can t live without ,information giving  nI can find anything from beautiful Art or photos of celebrities flower ideas bouquets or arrangements nPinterest is such a helpful useful app that I can t live without,"['beautiful', 'art', 'photo', 'celebrity', 'idea', 'bouquet', 'arrangement', 'nPinterest', 'helpful', 'useful', 'app']",[53],[0.55042595]
99_3580_4,information giving,It has made my daily life so much easier ,information giving It has made my daily life so much easier,"['daily', 'life', 'easy']",[],[]
99_3581_4,information giving,No matter what you re into and what you re looking for it s here ,information giving No matter what you re into and what you re looking for it s here,[],[],[]
99_3584_4,information giving,One of them was Create a Pin in Pinterest ,information giving One of them was Create a Pin in Pinterest,"['pin', 'Pinterest']","[37, 59, 68]","[0.32843268, 0.32841998, 1.0]"
99_3591_4,information giving,Best ideas people are so creative and I think I m addicted ,information giving Best ideas people are so creative and I think I m addicted,"['good', 'idea', 'people', 'creative']","[19, 68]","[0.39641568, 0.5]"
99_3592_4,information giving,Please continue it always ,information giving Please continue it always,[],[],[]
99_3593_4,information giving,I plan to get all my associates hooked on it ,information giving I plan to get all my associates hooked on it,['associate'],[62],[0.481395]
99_3594_4,information giving,Love love love it lots of inspiration and you can find anything you need ,information giving Love love love it lots of inspiration and you can find anything you need,"['Love', 'love', 'love', 'lot', 'inspiration']",[51],[0.49580374]
99_3597_4,information giving,I never have any problems with this app ,information giving I never have any problems with this app,"['problem', 'app']",[42],[0.6495697]
99_3600_4,information giving,I just love this App ,information giving I just love this App,[],[],[]
99_3601_4,information giving,I love pinterest I can t stop looking at stuff ,information giving I love pinterest I can t stop looking at stuff,"['pinterest', 'stuff']","[20, 43, 68]","[0.32783306, 0.3278052, 0.5]"
99_3603_4,information giving,This app never fails to surprise me ,information giving This app never fails to surprise me,['app'],[16],[0.505707]
99_3606_4,information giving,This creates a stack of open pages ,information giving This creates a stack of open pages,"['stack', 'open', 'page']",[],[]
99_3612_4,information giving,It s perfect when I m on the go and I need to look up something I ve saved ,information giving It s perfect when I m on the go and I need to look up something I ve saved,['perfect'],[6],[0.48357338]
99_3613_4,information giving,I ve found so many good ideas and recipes and its so easy to organize them so you can use them later ,information giving I ve found so many good ideas and recipes and its so easy to organize them so you can use them later,"['good', 'idea', 'recipe', 'easy']",[],[]
99_3616_4,information giving,I m completely addicted and the updates have just added to my addiction ,information giving I m completely addicted and the updates have just added to my addiction,"['update', 'addiction']","[20, 39]","[0.32783896, 0.32707354]"
99_3617_4,information giving,I can t pin fast enough ,information giving I can t pin fast enough,[],[],[]
99_3619_4,information giving,Never have I gotten so many ideas to be creative ,information giving Never have I gotten so many ideas to be creative,"['idea', 'creative']","[19, 68]","[0.651903, 1.0]"
99_3620_4,information giving,As an elementary art teacher I could not have a better app on my phone so many good ideas ,information giving As an elementary art teacher I could not have a better app on my phone so many good ideas,"['elementary', 'art', 'teacher', 'well', 'app', 'phone', 'good', 'idea']",[23],[0.40470403]
99_3627_4,information giving,I love the app I get lots of recipes and am able to open it when I m at the grocery store and see what I need to buy for recipes and then when I m cooking its easy to follow the recipe right from my phone ,information giving I love the app I get lots of recipes and am able to open it when I m at the grocery store and see what I need to buy for recipes and then when I m cooking its easy to follow the recipe right from my phone,"['app', 'lot', 'recipe', 'able', 'grocery', 'store', 'recipe', 'easy', 'recipe', 'phone']",[30],[0.643906]
99_3629_4,information giving,It s the first place I look to when I need something ,information giving It s the first place I look to when I need something,['place'],[32],[0.48275438]
99_3630_4,information giving, the new updates on this app make it much more stable and I like you can now make Pinterest folders within the app ,information giving  the new updates on this app make it much more stable and I like you can now make Pinterest folders within the app,"['new', 'update', 'app', 'stable', 'Pinterest', 'folder', 'app']",[37],[0.45211422]
99_3634_4,information giving,I totally recommend it ,information giving I totally recommend it,[],[],[]
99_3635_4,information giving,Pintrest is the greatest all ideas are great just need clear and full recipes ,information giving Pintrest is the greatest all ideas are great just need clear and full recipes,"['Pintrest', 'great', 'idea', 'great', 'clear', 'recipe']",[68],[0.3333333333333333]
99_3638_4,information giving,The ideas are endless ,information giving The ideas are endless,"['idea', 'endless']","[26, 19, 68]","[0.33042628, 0.3296616, 0.5]"
99_3640_4,information giving,Addictive app filled with craft ideas and step by step tutorials on how to create them ,information giving Addictive app filled with craft ideas and step by step tutorials on how to create them,"['addictive', 'app', 'craft', 'idea', 'step', 'step', 'tutorial']",[51],[0.47765285]
99_3641_4,information giving,Just love it ,information giving Just love it,[],[],[]
99_3642_4,information giving,Who needs a cookbook anymore when I have Pinterest ,information giving Who needs a cookbook anymore when I have Pinterest,"['cookbook', 'Pinterest']","[37, 68]","[0.48458993, 0.5]"
99_3644_4,information giving,Save all your how to videos in one place all your renovation ideas party planning ideas dream decorating ideas plan for what to do in your garden next year ,information giving Save all your how to videos in one place all your renovation ideas party planning ideas dream decorating ideas plan for what to do in your garden next year,"['save', 'video', 'place', 'renovation', 'idea', 'party', 'planning', 'idea', 'idea', 'garden', 'year']",[19],[0.31873375]
99_3650_4,information seeking,why why my whatsapp have not settings ,information seeking why why my whatsapp have not settings,"['whatsapp', 'setting']","[35, 21]","[0.32708415, 0.32601237]"
99_3651_4,information giving,Good I cannot see the last seen statements though ,information giving Good I cannot see the last seen statements though,"['good', 'statement']",[18],[0.51015604]
99_3660_4,information giving,85 out of 100 need this kind of Update ,information giving 85 out of 100 need this kind of Update,"['85', '100', 'need', 'kind', 'Update']",[24],[0.8220507]
99_3664_4,information giving,No block list as i updated No block list ,information giving No block list as i updated No block list,"['block', 'list', 'block', 'list']",[31],[0.6500737]
99_3666_4,information giving,Great Great app but need some improvement for IOS devices,information giving Great Great app but need some improvement for IOS devices,"['great', 'great', 'app', 'improvement', 'IOS', 'device']",[16],[0.417073]
99_3667_4,information giving,Please i need your help ,information giving Please i need your help,['help'],[2],[0.48241404]
99_3668_4,information giving,Cool app Please make sure that we can delete media received from memory and not just from chat ,information giving Cool app Please make sure that we can delete media received from memory and not just from chat,"['app', 'sure', 'medium', 'memory']",[13],[0.5806404]
99_3670_4,information seeking,Is that true and if so why can t you set it up ,information seeking Is that true and if so why can t you set it up,['true'],[23],[0.482103]
99_3673_4,information seeking,Payements Good but why can t it be free like skype ,information seeking Payements Good but why can t it be free like skype,"['payement', 'good', 'free', 'skype']","[18, 36]","[0.34576032, 0.32653436]"
99_3676_4,information giving,Please Check the problem ,information giving Please Check the problem,['problem'],[42],[0.48295513]
99_3678_4,information seeking,What is error 927 ,information seeking What is error 927,"['error', '927']",[13],[0.4830595]
99_3679_4,information seeking,Whats up is fail to download is there any solution ,information seeking Whats up is fail to download is there any solution,"['fail', 'solution']","[60, 17]","[0.32706842, 0.32688615]"
99_3681_4,information giving,Now I can t play game at all ,information giving Now I can t play game at all,['game'],[40],[0.48266688]
99_3683_4,information giving,Most of them don t even know how to use spell check on their phone for heavens sake ,information giving Most of them don t even know how to use spell check on their phone for heavens sake,"['spell', 'check', 'phone', 'heaven', 'sake']",[56],[0.65750015]
99_3685_4,information giving, nHi my aim has improved as has my ability to figure out how to get 3 stars on most all levels ,information giving  nHi my aim has improved as has my ability to figure out how to get 3 stars on most all levels,"['aim', 'ability', '3', 'star', 'level']","[12, 37]","[0.3416466, 0.33262768]"
99_3687_4,information giving,I updated my iOS software and it s not that or my phone ,information giving I updated my iOS software and it s not that or my phone,"['software', 'phone']","[43, 63]","[0.32780826, 0.32677743]"
99_3688_4,information giving,I know you can do better Rovio ,information giving I know you can do better Rovio,[],[],[]
99_3691_4,information seeking,Why keep on asking when I already said no ,information seeking Why keep on asking when I already said no,[],[],[]
99_3695_4,information giving,Drop box as a service is rather annoying as it seems to be made for old people who haven t made the jump to collaborating in real time in the cloud ,information giving Drop box as a service is rather annoying as it seems to be made for old people who haven t made the jump to collaborating in real time in the cloud,"['box', 'service', 'annoying', 'old', 'people', 'jump', 'real', 'time', 'cloud']",[],[]
99_3696_4,information seeking,Why are you following Apple s lead with the crappy dull uninspired look ,information seeking Why are you following Apple s lead with the crappy dull uninspired look,"['Apple', 'lead', 'crappy', 'dull', 'uninspired', 'look']",[53],[0.8484585]
99_3699_4,information seeking,Why I can t I upload photos from my camera roll one at a time instead of the entire camera roll ,information seeking Why I can t I upload photos from my camera roll one at a time instead of the entire camera roll,"['photo', 'camera', 'time', 'entire', 'camera', 'roll']",[42],[0.565409]
99_3703_4,information giving,rugg31 Flat out will not open on a new iPad Air ,information giving rugg31 Flat out will not open on a new iPad Air,"['rugg31', 'Flat', 'new']",[39],[0.48260152]
99_3705_4,information giving,And I never added anything to my favorites ,information giving And I never added anything to my favorites,['favorite'],[17],[0.4823009]
99_3706_4,information seeking,JohnInThisLife Why did you drop support for earlier IOSs ,information seeking JohnInThisLife Why did you drop support for earlier IOSs,"['JohnInThisLife', 'support', 'early', 'ios']",[18],[0.60208434]
99_3709_4,information giving,I have been a Dropbox user for years and unfortunately must look for another solution unless an iOS 6 version is made available again ,information giving I have been a Dropbox user for years and unfortunately must look for another solution unless an iOS 6 version is made available again,"['Dropbox', 'user', 'year', 'solution', '6', 'version', 'available']",[],[]
99_3711_4,information giving,Instead of having multiple paper notebooks or little notes everywhere everything I need to remember or reference goes into Evernote ,information giving Instead of having multiple paper notebooks or little notes everywhere everything I need to remember or reference goes into Evernote,"['multiple', 'paper', 'notebook', 'little', 'note', 'reference', 'Evernote']",[],[]
99_3712_4,information giving,Our minds need Evernote to actually function today as the creative thinking creatures we are and unburden us from the voluminous mundane which informs our thinking ,information giving Our minds need Evernote to actually function today as the creative thinking creatures we are and unburden us from the voluminous mundane which informs our thinking,"['mind', 'Evernote', 'today', 'creative', 'thinking', 'creature', 'voluminous', 'mundane', 'thinking']",[33],[0.793262]
99_3713_4,information giving,While there are still functions which are not yet available on all mobile platforms these do not detract from the unequivocal 5 rating ,information giving While there are still functions which are not yet available on all mobile platforms these do not detract from the unequivocal 5 rating,"['function', 'available', 'mobile', 'platform', 'unequivocal', '5']",[49],[0.4246552]
99_3715_4,information giving,Never crashes and it s so much simpler than the old version ,information giving Never crashes and it s so much simpler than the old version,"['simple', 'old', 'version']",[],[]
99_3716_4,information giving,That s high praise these days this app does just what I need it to do and does it well ,information giving That s high praise these days this app does just what I need it to do and does it well,"['high', 'praise', 'day', 'app']","[65, 48]","[0.46612322, 0.32362887]"
99_3719_4,information giving,I use this to keep track of many items the company is great at providing support and they update the software often ,information giving I use this to keep track of many items the company is great at providing support and they update the software often,"['track', 'item', 'company', 'great', 'support', 'update', 'software']",[63],[0.60415214]
99_3720_4,information giving,Please stop all the enhancements ,information giving Please stop all the enhancements,['enhancement'],[13],[0.4830595]
99_3724_4,information giving,That s a vote of confidence that this great versatile app will be around for as long as I need it ,information giving That s a vote of confidence that this great versatile app will be around for as long as I need it,"['vote', 'confidence', 'great', 'versatile', 'app']",[55],[0.5416944]
99_3728_4,information giving,Now I know why it s one if the best apps available in all platforms ,information giving Now I know why it s one if the best apps available in all platforms,"['good', 'app', 'available', 'platform']","[49, 18]","[0.47107175, 0.33020556]"
99_3729_4,information giving,This single app has replaced my GTD apps note apps outliners presentation apps file sharing and with the sync is available everywhere I need ,information giving This single app has replaced my GTD apps note apps outliners presentation apps file sharing and with the sync is available everywhere I need,"['single', 'app', 'GTD', 'app', 'note', 'outliner', 'app', 'file', 'sharing', 'sync', 'available']",[13],[0.62166125]
99_3730_4,information giving,Great to have my stuff available in one place ,information giving Great to have my stuff available in one place,"['great', 'stuff', 'available', 'place']",[],[]
99_3734_4,information giving,It used to allow adding multiple tags at once ,information giving It used to allow adding multiple tags at once,"['multiple', 'tag']","[28, 60]","[0.3272927, 0.32708287]"
99_3735_4,information giving,Just clip all thoughts you have from any medium to the software and it is recall able ,information giving Just clip all thoughts you have from any medium to the software and it is recall able,"['thought', 'medium', 'software', 'recall', 'able']",[61],[0.8214342]
99_3736_4,information giving,Well worth the download and will purchase the subscription once I learn more on how to maximize it ,information giving Well worth the download and will purchase the subscription once I learn more on how to maximize it,"['worth', 'download', 'subscription']",[],[]
99_3738_4,information giving, That said Evernote has made a massive impact in my life in terms of productivity and organization ,information giving  That said Evernote has made a massive impact in my life in terms of productivity and organization,"['Evernote', 'massive', 'impact', 'life', 'term', 'productivity', 'organization']",[53],[0.6203261]
99_3740_4,information giving,It seemed cool but I just don t take that many notes I thought ,information giving It seemed cool but I just don t take that many notes I thought,"['cool', 'note']","[49, 35]","[0.32744282, 0.32708514]"
99_3741_4,information seeking, n nNow imagine that for invoices reference photos old magazines newspaper articles kids school awards receipts every recipe you own the manual to your dishwasher the color of paint in in your living room the business card of the guy who installed your flooring etc n nWhether we like it or not we need to acquire the skill of information management ,information seeking  n nNow imagine that for invoices reference photos old magazines newspaper articles kids school awards receipts every recipe you own the manual to your dishwasher the color of paint in in your living room the business card of the guy who installed your flooring etc n nWhether we like it or not we need to acquire the skill of information management,"['invoice', 'reference', 'old', 'magazine', 'newspaper', 'kid', 'school', 'award', 'recipe', 'manual', 'dishwasher', 'color', 'paint', 'living', 'room', 'business', 'card', 'flooring', 'skill', 'management']",[35],[0.9484323]
99_3747_4,information giving,This is the only notepad solution I use for my business ,information giving This is the only notepad solution I use for my business,"['notepad', 'solution', 'business']","[5, 17]","[0.3273704, 0.32687628]"
99_3748_4,information giving,Whether you want to organize your butterfly collection or organize your dissertation Evernote can help you do it ,information giving Whether you want to organize your butterfly collection or organize your dissertation Evernote can help you do it,"['butterfly', 'collection', 'dissertation', 'Evernote']","[31, 3]","[0.32783312, 0.32675287]"
99_3752_4,information giving,This app alone is the first one I recommend to any family member or friend with a new iOS or other device ,information giving This app alone is the first one I recommend to any family member or friend with a new iOS or other device,"['app', 'family', 'member', 'friend', 'new', 'device']",[],[]
99_3753_4,information giving,Easy to search for information when I need it ,information giving Easy to search for information when I need it,['easy'],[26],[0.48754585]
99_3756_4,information giving,I don t need any other note taking apps to store my notes ,information giving I don t need any other note taking apps to store my notes,"['note', 'app', 'note']",[49],[0.73506314]
99_3757_4,information giving,Every time I have something come up with in my mind I just simply take a draft in Evernote and tag it as idea ,information giving Every time I have something come up with in my mind I just simply take a draft in Evernote and tag it as idea,"['time', 'mind', 'draft', 'Evernote', 'idea']",[33],[0.32875076]
99_3760_4,information giving,So because of this program I updated my iOS and it changed its look completely and its stability ,information giving So because of this program I updated my iOS and it changed its look completely and its stability,"['program', 'ios', 'look', 'stability']",[26],[0.3968556]
99_3764_4,information giving,If you are looking for an app to keep all your information from pictures to web links quotes recipes etc This is the ultimate app look no more ,information giving If you are looking for an app to keep all your information from pictures to web links quotes recipes etc This is the ultimate app look no more,"['app', 'picture', 'web', 'link', 'recipe', 'ultimate', 'app']","[30, 64]","[0.3785753, 0.3617388]"
99_3765_4,information giving,Blurring out the right side means you can t read or really see that area when the sidebars open anyway ,information giving Blurring out the right side means you can t read or really see that area when the sidebars open anyway,"['right', 'area', 'sidebar']","[51, 63]","[0.33060372, 0.32678878]"
99_3769_4,information giving,s problems with this app 5 ptcgkm This is a great app which I have been using for many years ,information giving s problems with this app 5 ptcgkm This is a great app which I have been using for many years,"['problem', 'app', 'ptcgkm', 'great', 'app', 'year']",[16],[0.40735778]
99_3771_4,information giving, n nI recommend Evernote to everyone I meet ,information giving  n nI recommend Evernote to everyone I meet,['Evernote'],[31],[0.48369816]
99_3775_4,information giving,The only way I can continue is to go through iTunes to delete the whole app then reinstall it ,information giving The only way I can continue is to go through iTunes to delete the whole app then reinstall it,"['way', 'itune', 'app']","[51, 66]","[0.46283782, 0.3333333333333333]"
99_3776_4,information giving,Love the ease with which other apps can integrate with Evernote ,information giving Love the ease with which other apps can integrate with Evernote,"['Love', 'ease', 'app', 'Evernote']",[48],[0.32284102]
99_3780_4,information giving,I am still working on EN but will also be on stand by and looking for possible alternatives ,information giving I am still working on EN but will also be on stand by and looking for possible alternatives,"['stand', 'possible', 'alternative']",[],[]
99_3788_4,information seeking,How do these things get out of the gate ,information seeking How do these things get out of the gate,"['thing', 'gate']",[32],[0.48275456]
99_3790_4,information giving, n n iOS Redesign nProps to the Evernote team for not just tweaking the look of their app for iOS 7 like so many others ,information giving  n n iOS Redesign nProps to the Evernote team for not just tweaking the look of their app for iOS 7 like so many others,"['Evernote', 'team', 'look', 'app', '7']","[60, 14]","[0.338781, 0.3209082]"
99_3791_4,information giving,Will update rating accordingly ,information giving Will update rating accordingly,['update'],[20],[0.4837061]
99_3793_4,information giving,We have created an unreliable app ,information giving We have created an unreliable app,"['unreliable', 'app']","[19, 16]","[0.34506813, 0.32732174]"
99_3794_4,information giving,Just use Notebooks or OneNote ,information giving Just use Notebooks or OneNote,"['Notebooks', 'OneNote']",[],[]
99_3795_4,information giving,These guys know how to think outside of the box to let a note taking app evolve and immerse itself into your life and business ,information giving These guys know how to think outside of the box to let a note taking app evolve and immerse itself into your life and business,"['guy', 'box', 'note', 'app', 'evolve', 'life', 'business']",[14],[0.7218021]
99_3796_4,information giving, n nHighly recommended note taking app ,information giving  n nHighly recommended note taking app,"['note', 'app']",[49],[0.6496887]
99_3797_4,information seeking,It s already possible to rearrange boards why not the pins on a single board ,information seeking It s already possible to rearrange boards why not the pins on a single board,"['possible', 'board', 'pin', 'single', 'board']","[31, 68]","[0.6582295, 0.6]"
99_3798_4,information giving,This app provides me with just that the opportunity to glance at photos and most photos have links for further information ,information giving This app provides me with just that the opportunity to glance at photos and most photos have links for further information,"['app', 'opportunity', 'photo', 'photo', 'link']",[28],[0.35720396]
99_3799_4,information giving,Pinterest is now my go to resource whenever I need ideas or inspiration for nearly anything in life ,information giving Pinterest is now my go to resource whenever I need ideas or inspiration for nearly anything in life,"['Pinterest', 'resource', 'idea', 'inspiration', 'life']","[19, 68]","[0.33146483, 0.4]"
99_3801_4,information giving,No longer have to cut a tree down when I can pin it ,information giving No longer have to cut a tree down when I can pin it,['tree'],[37],[0.4845691]
99_3802_4,information giving,This is the easiest way for me to use Pinterest so I don t just spend hours on the site ,information giving This is the easiest way for me to use Pinterest so I don t just spend hours on the site,"['easy', 'way', 'Pinterest', 'hour', 'site']",[],[]
99_3806_4,information giving,This app has made my life so much easier ,information giving This app has made my life so much easier,"['app', 'life', 'easy']",[48],[0.4657392]
99_3807_4,information giving,I have had this app and I m literally on it everyday ,information giving I have had this app and I m literally on it everyday,['app'],[16],[0.50570786]
99_3808_4,information giving,Powerful for seeing goals I have set for the year to attract what I need to make a goal a reality ,information giving Powerful for seeing goals I have set for the year to attract what I need to make a goal a reality,"['powerful', 'goal', 'year', 'goal', 'reality']",[16],[0.6657699]
99_3809_4,information giving,I love how you can look ion vastly different categories where you can find anything you can think of ,information giving I love how you can look ion vastly different categories where you can find anything you can think of,"['ion', 'different', 'category']","[46, 38]","[0.3279325, 0.32745054]"
99_3812_4,information giving,I enjoying seeing how many folks are following me and sometimes adding photos I take or find outside of pinterest ,information giving I enjoying seeing how many folks are following me and sometimes adding photos I take or find outside of pinterest,"['folk', 'photo', 'pinterest']",[68],[0.3333333333333333]
99_3813_4,information giving,I can always find what I need and great new ideas ,information giving I can always find what I need and great new ideas,"['great', 'new', 'idea']",[68],[0.3333333333333333]
99_3814_4,information giving,You can create any type of board you want and pretty much everything else is customizable too ,information giving You can create any type of board you want and pretty much everything else is customizable too,"['type', 'board', 'customizable']","[31, 36, 68]","[0.32783514, 0.3265202, 0.3333333333333333]"
99_3816_4,information giving,I m not sure how I managed in life without Pinterest or this app for that matter but it s my 1 go to if I need a little inspiration ,information giving I m not sure how I managed in life without Pinterest or this app for that matter but it s my 1 go to if I need a little inspiration,"['sure', 'life', 'Pinterest', 'app', 'matter', '1', 'little', 'inspiration']",[],[]
99_3818_4,information giving,You look further and it was wasn t what you expected ,information giving You look further and it was wasn t what you expected,['wasn'],[],[]
99_3819_4,information giving,You have to arrow back using your browser and it takes you ALL The Way Back to the Beginning of scrolling ,information giving You have to arrow back using your browser and it takes you ALL The Way Back to the Beginning of scrolling,"['browser', 'way', 'beginning', 'scrolling']","[64, 10]","[0.3945638, 0.39443734]"
99_3820_4,information giving,I ve learned how to do so many things through Pinterest pins and enjoying pinning items of my own ,information giving I ve learned how to do so many things through Pinterest pins and enjoying pinning items of my own,"['thing', 'Pinterest', 'pin', 'item']",[68],[0.5]
99_3821_4,information giving,I totally recommend this app ,information giving I totally recommend this app,['app'],[16],[0.505706]
99_3823_4,information giving,This is such a fun way to kill time waiting for appointments when I can t sleep or just feeling lazy bones ,information giving This is such a fun way to kill time waiting for appointments when I can t sleep or just feeling lazy bones,"['fun', 'way', 'time', 'appointment', 'lazy', 'bone']",[55],[0.5613693]
99_3824_4,information giving,I love this app I get recipes how to s ideas and tons of diy ideas ,information giving I love this app I get recipes how to s ideas and tons of diy ideas,"['app', 'recipe', 'idea', 'ton', 'diy', 'idea']","[17, 19, 68]","[0.40563095, 0.30290055, 0.3333333333333333]"
99_3826_4,information giving,You can create a board of your own to refer back to also ,information giving You can create a board of your own to refer back to also,['board'],"[31, 68]","[0.48369816, 1.0]"
99_3828_4,information giving,I recommend it often ,information giving I recommend it often,[],[],[]
99_3829_4,information giving,I spend hours just looking and getting great ideas ,information giving I spend hours just looking and getting great ideas,"['hour', 'great', 'idea']",[68],[0.3333333333333333]
99_3834_4,information giving,In hope i don t jinx myself but i haven t had any issues with this app ,information giving In hope i don t jinx myself but i haven t had any issues with this app,"['hope', 'issue', 'app']",[12],[0.49173394]
99_3835_4,information giving,Love the changes Pinterest has added I don t ever have problems with this app because they re great at addressing any ,information giving Love the changes Pinterest has added I don t ever have problems with this app because they re great at addressing any,"['love', 'change', 'Pinterest', 'problem', 'app', 'great']",[],[]
99_3836_4,information giving,Well here s your review ,information giving Well here s your review,['review'],[54],[0.48323065]
99_3837_4,information giving,I have had no problems with it at all ,information giving I have had no problems with it at all,['problem'],[42],[0.48295513]
99_3838_4,information giving,The potential is there just waiting ,information giving The potential is there just waiting,['potential'],[],[]
99_3839_4,information giving,I love the app and use it a lot when I need to pass time ,information giving I love the app and use it a lot when I need to pass time,"['app', 'time']",[33],[0.6491957]
99_3842_4,information giving,I recommend this app to all my friends and will continue to use it faithfully ,information giving I recommend this app to all my friends and will continue to use it faithfully,"['app', 'friend']",[59],[0.65066385]
99_3845_4,information giving,Love having a source of photos to reference when I need them ,information giving Love having a source of photos to reference when I need them,"['Love', 'source', 'photo', 'reference']",[],[]
99_3846_4,information giving,Nice app you can save your pics and grab pics from others and share comments ,information giving Nice app you can save your pics and grab pics from others and share comments,"['app', 'pics', 'pic', 'share', 'comment']",[59],[0.46793714]
99_3850_4,information giving,I don t understand why fix something that is not broken to really break it ,information giving I don t understand why fix something that is not broken to really break it,[],[],[]
99_3851_4,information seeking,I wish there were no limitations on searches and I know there are thousands of pins so why only show a couple hundred ,information seeking I wish there were no limitations on searches and I know there are thousands of pins so why only show a couple hundred,"['limitation', 'search', 'thousand', 'pin', 'couple']",[10],[0.4936492]
99_3852_4,information giving,The upgrades have made great improvements ,information giving The upgrades have made great improvements,"['upgrade', 'great', 'improvement']",[],[]
99_3853_4,information giving,Haven t had any issues at all on iPhone 4S ,information giving Haven t had any issues at all on iPhone 4S,"['issue', 'iPhone']","[12, 66]","[0.6501862, 0.5]"
99_3854_4,information giving,There are so many great ideas on this app ,information giving There are so many great ideas on this app,"['great', 'idea', 'app']","[16, 68]","[0.498986, 0.3333333333333333]"
99_3856_4,information giving,Love how you can create group boards and progressively invite members ,information giving Love how you can create group boards and progressively invite members,"['Love', 'group', 'board', 'member']",[],[]
99_3861_4,information giving,The best place to keep all your ideas favorite things and plans is one place and better yet to share ,information giving The best place to keep all your ideas favorite things and plans is one place and better yet to share,"['good', 'place', 'idea', 'favorite', 'thing', 'plan', 'place', 'well']",[32],[0.32847548]
99_3862_4,information giving,Easy to use great way to kill time at a doctor s office and such ,information giving Easy to use great way to kill time at a doctor s office and such,"['easy', 'great', 'way', 'time', 'doctor', 'office']",[30],[0.37541455]
99_3864_4,information giving,I have no problems with this app ,information giving I have no problems with this app,"['problem', 'app']",[42],[0.6495697]
99_3865_4,information giving,This app runs so smoothly and I rarely have issues with it anymore ,information giving This app runs so smoothly and I rarely have issues with it anymore,"['app', 'issue']",[12],[0.6501771]
99_3870_4,information giving,Overall it is fun provides a lot of good info ,information giving Overall it is fun provides a lot of good info,"['fun', 'good', 'info']",[],[]
99_3873_4,information giving,There are so many recipes and ideas that you can pin now and use as a resource later ,information giving There are so many recipes and ideas that you can pin now and use as a resource later,"['recipe', 'idea', 'resource']",[68],[0.3333333333333333]
99_3875_4,information giving,I don t like updates that change everything around but I seem to be getting used to how to navigate it ,information giving I don t like updates that change everything around but I seem to be getting used to how to navigate it,['update'],[20],[0.4837061]
99_3876_4,information giving,I have to careful when I open it because it can be hours before I come up for air ,information giving I have to careful when I open it because it can be hours before I come up for air,"['careful', 'hour', 'air']",[66],[0.3333333333333333]
99_3878_4,information giving,It s good that we can view what we ve already pinned and be told when we re about to pin something we may have forgotten has already been pinned to our board s ,information giving It s good that we can view what we ve already pinned and be told when we re about to pin something we may have forgotten has already been pinned to our board s,"['good', 'board']","[18, 31, 68]","[0.3457602, 0.32782787, 0.5]"
99_3880_4,information seeking,How to make or do anything ,information seeking How to make or do anything,[],[],[]
99_3882_4,information giving,Everything you need is right here and more ,information giving Everything you need is right here and more,[],[],[]
99_3889_4,information giving,Never have any problems with it never crashes ,information giving Never have any problems with it never crashes,['problem'],[42],[0.48295513]
99_3890_4,information giving,The ideas that I have been able to use and share have been a tremendous help to me my family friends and co workers ,information giving The ideas that I have been able to use and share have been a tremendous help to me my family friends and co workers,"['idea', 'able', 'share', 'tremendous', 'help', 'family', 'friend', 'worker']",[62],[0.76781785]
